restau_ID,restaurant,url,nombre_avis,score_general
79,Lorette & Les Garçons,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15077991-Reviews-Lorette_Les_Garcons-Paris_Ile_de_France.html,153,4.5
80,Sourire Le Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187147-d11857149-Reviews-Sourire_Le_Restaurant-Paris_Ile_de_France.html,359,4.5
81,Louis,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8143855-Reviews-Louis-Paris_Ile_de_France.html,207,4.5
82,Les Canailles,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2719266-Reviews-Les_Canailles-Paris_Ile_de_France.html,670,4.5
83,L'Acolyte de L'Insolite,https://www.tripadvisor.fr/Restaurant_Review-g187147-d7139067-Reviews-L_Acolyte_de_L_Insolite-Paris_Ile_de_France.html,373,4.5
84,La Bonne Excuse,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2707651-Reviews-La_Bonne_Excuse-Paris_Ile_de_France.html,749,4.5
85,Le Perraudin,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719822-Reviews-Le_Perraudin-Paris_Ile_de_France.html,162,4.5
86,Le Crepuscule,https://www.tripadvisor.fr/Restaurant_Review-g187147-d4467359-Reviews-Le_Crepuscule-Paris_Ile_de_France.html,575,4.5
87,TRADI,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8662639-Reviews-TRADI-Paris_Ile_de_France.html,523,4.5
88,L'Arôme,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1096561-Reviews-L_Arome-Paris_Ile_de_France.html,375,4.5
89,TOUS,https://www.tripadvisor.fr/Restaurant_Review-g187147-d11317164-Reviews-Tous-Paris_Ile_de_France.html,377,4.5
90,Le Florimond,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719117-Reviews-Le_Florimond-Paris_Ile_de_France.html,1093,4.5
91,Papa Poule,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15187747-Reviews-Papa_Poule-Paris_Ile_de_France.html,131,4.5
92,Comme à La Campagne,https://www.tripadvisor.fr/Restaurant_Review-g187147-d11724126-Reviews-Comme_a_La_Campagne-Paris_Ile_de_France.html,155,4.5
93,Phebe,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1335587-Reviews-Phebe-Paris_Ile_de_France.html,287,4.5
94,Esttia,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13558484-Reviews-Esttia-Paris_Ile_de_France.html,200,4.5
95,Le Poulbot,https://www.tripadvisor.fr/Restaurant_Review-g187147-d803897-Reviews-Le_Poulbot-Paris_Ile_de_France.html,695,4.5
96,Le Clarence,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8811064-Reviews-Le_Clarence-Paris_Ile_de_France.html,241,4.5
97,Grains Nobles et Plus,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3948818-Reviews-Grains_Nobles_et_Plus-Paris_Ile_de_France.html,466,4.5
98,Madame Pop's,https://www.tripadvisor.fr/Restaurant_Review-g187147-d17452512-Reviews-Madame_Pop_s-Paris_Ile_de_France.html,199,4.5
99,BO&MIE - Turbigo,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13168416-Reviews-BO_MIE_Turbigo-Paris_Ile_de_France.html,202,4.5
100,Chez Toinette,https://www.tripadvisor.fr/Restaurant_Review-g187147-d715006-Reviews-Chez_Toinette-Paris_Ile_de_France.html,1553,4.5
101,Ze Kitchen Galerie,https://www.tripadvisor.fr/Restaurant_Review-g187147-d720163-Reviews-Ze_Kitchen_Galerie-Paris_Ile_de_France.html,1384,4.5
102,Le P'tit Vélo,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12004333-Reviews-Le_P_tit_Velo-Paris_Ile_de_France.html,105,5.0
103,Restaurant de la Tour,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719864-Reviews-Restaurant_de_la_Tour-Paris_Ile_de_France.html,565,4.5
104,Restaurant Friends & Family,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13132900-Reviews-Friends_Family_Restaurant-Paris_Ile_de_France.html,139,4.5
105,Le Clos Y,https://www.tripadvisor.fr/Restaurant_Review-g187147-d6219735-Reviews-Le_Clos_Y-Paris_Ile_de_France.html,477,4.5
106,J J Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1337437-Reviews-J_J_Restaurant-Paris_Ile_de_France.html,407,4.5
107,Restaurant du Palais Royal,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719869-Reviews-Restaurant_du_Palais_Royal-Paris_Ile_de_France.html,483,4.5
108,Invictus,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3899568-Reviews-Invictus-Paris_Ile_de_France.html,852,4.5
109,Marche Ou Crêpe,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12322841-Reviews-Marche_Ou_Crepe-Paris_Ile_de_France.html,351,5.0
110,Le Lamarck,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1323764-Reviews-Le_Lamarck-Paris_Ile_de_France.html,307,4.5
111,"Le Bon, La Butte",https://www.tripadvisor.fr/Restaurant_Review-g187147-d15207574-Reviews-Le_Bon_La_Butte-Paris_Ile_de_France.html,151,4.5
112,Chez Marcel,https://www.tripadvisor.fr/Restaurant_Review-g187147-d714983-Reviews-Chez_Marcel-Paris_Ile_de_France.html,871,4.5
113,Virtus,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10165846-Reviews-Virtus-Paris_Ile_de_France.html,308,4.5
114,Restaurant La Pie Noir,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12182791-Reviews-Restaurant_La_Pie_Noir-Paris_Ile_de_France.html,416,4.5
115,Les Tables d'Augustin,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10149750-Reviews-Les_Tables_d_Augustin-Paris_Ile_de_France.html,167,4.5
116,Les Cuivres,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15121018-Reviews-Les_Cuivres-Paris_Ile_de_France.html,161,4.5
117,CHEZ MAXENCE,https://www.tripadvisor.fr/Restaurant_Review-g187147-d6713340-Reviews-Chez_Maxence-Paris_Ile_de_France.html,222,4.5
118,La Grande Ourse,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2701878-Reviews-La_Grande_Ourse-Paris_Ile_de_France.html,274,4.5
119,Grenouilles Paris,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12346617-Reviews-Grenouilles_Paris-Paris_Ile_de_France.html,245,4.5
120,Fromagerie Danard,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8772707-Reviews-Fromagerie_Danard-Paris_Ile_de_France.html,755,4.5
121,Oka,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12503508-Reviews-Oka-Paris_Ile_de_France.html,202,4.5
122,Happy Caffe,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8673497-Reviews-Happy_Caffe-Paris_Ile_de_France.html,629,4.5
123,chez delphine,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12129835-Reviews-Chez_Delphine-Paris_Ile_de_France.html,394,4.5
124,Le Bouclard,https://www.tripadvisor.fr/Restaurant_Review-g187147-d947475-Reviews-Le_Bouclard-Paris_Ile_de_France.html,318,4.5
125,le petit canard,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1094788-Reviews-Le_petit_canard-Paris_Ile_de_France.html,756,4.5
126,L'Amijoté,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10699948-Reviews-L_Amijote-Paris_Ile_de_France.html,285,4.5
127,Chez Trassoudaine,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1035102-Reviews-Chez_Trassoudaine-Paris_Ile_de_France.html,491,4.5
128,L'Espadon,https://www.tripadvisor.fr/Restaurant_Review-g187147-d779736-Reviews-L_Espadon-Paris_Ile_de_France.html,233,4.5
129,Le Sergent Recruteur,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3720857-Reviews-Le_Sergent_Recruteur-Paris_Ile_de_France.html,69,5.0
130,Aux Cerises,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1193023-Reviews-Aux_Cerises-Paris_Ile_de_France.html,308,4.5
131,Kitchen Galerie Bis,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1642811-Reviews-Kitchen_Galerie_Bis-Paris_Ile_de_France.html,650,4.5
132,Bodega Potxolo,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2480335-Reviews-Bodega_Potxolo-Paris_Ile_de_France.html,256,4.5
133,L'Elan 9,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12605797-Reviews-L_Elan_9-Paris_Ile_de_France.html,120,5.0
134,Pages,https://www.tripadvisor.fr/Restaurant_Review-g187147-d7095002-Reviews-Pages-Paris_Ile_de_France.html,232,4.5
135,Mamie Bidoche,https://www.tripadvisor.fr/Restaurant_Review-g187147-d17604735-Reviews-Mamie_Bidoche-Paris_Ile_de_France.html,131,4.5
136,A,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10724310-Reviews-A_Lacroix_Patissier-Paris_Ile_de_France.html,244,4.5
137,Le Colimaçon,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1035630-Reviews-Le_Colimacon-Paris_Ile_de_France.html,1009,4.5
138,Archibon Bar à Vin,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10484063-Reviews-Archibon_Bar_a_Vin-Paris_Ile_de_France.html,205,4.5
139,Sarté Restaurant,https://www.tripadvisor.fr/Restaurant_Review-g187147-d19898257-Reviews-Sarte_Restaurant-Paris_Ile_de_France.html,61,5.0
140,Huîtres et Saumons de Passy,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2614558-Reviews-Huitres_et_Saumons_de_Passy-Paris_Ile_de_France.html,313,4.5
141,Chez Germaine,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1057786-Reviews-Chez_Germaine-Paris_Ile_de_France.html,233,4.5
142,Aux 2 Saveurs,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12535132-Reviews-Aux_2eme_Saveurs-Paris_Ile_de_France.html,225,4.5
143,La Vie d'Ange,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3485727-Reviews-La_Vie_d_Ange-Paris_Ile_de_France.html,655,4.5
144,Les Fines Lames,https://www.tripadvisor.fr/Restaurant_Review-g187147-d14138741-Reviews-Les_Fines_Lames-Paris_Ile_de_France.html,155,4.5
145,Les Climats,https://www.tripadvisor.fr/Restaurant_Review-g187147-d4228364-Reviews-Les_Climats-Paris_Ile_de_France.html,819,4.5
146,Bistrot Rougemont,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15141361-Reviews-Bistrot_Rougemont-Paris_Ile_de_France.html,167,4.5
147,La Petite Rose des Sables,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3192219-Reviews-La_Petite_Rose_des_Sables-Paris_Ile_de_France.html,885,4.5
148,B,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1128074-Reviews-B_D_J_cafe-Paris_Ile_de_France.html,469,4.5
149,La Scène Thélème,https://www.tripadvisor.fr/Restaurant_Review-g187147-d11180479-Reviews-La_Scene_Theleme-Paris_Ile_de_France.html,366,4.5
150,Les Trublions,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8504956-Reviews-Les_Trublions-Paris_Ile_de_France.html,436,4.5
151,Pierre Gagnaire,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719833-Reviews-Pierre_Gagnaire-Paris_Ile_de_France.html,963,4.5
152,Christophe Roussel,https://www.tripadvisor.fr/Restaurant_Review-g187147-d6701340-Reviews-Christophe_Roussel-Paris_Ile_de_France.html,149,4.5
153,King Marcel-rue Montmartre,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8377071-Reviews-King_Marcel_rue_Montmartre-Paris_Ile_de_France.html,929,4.5
154,La Maison du Jardin,https://www.tripadvisor.fr/Restaurant_Review-g187147-d718693-Reviews-La_Maison_du_Jardin-Paris_Ile_de_France.html,591,4.5
155,RESTAURANT DE LA CORDONNERIE,https://www.tripadvisor.fr/Restaurant_Review-g187147-d718648-Reviews-La_Cordonnerie-Paris_Ile_de_France.html,667,4.5
156,La Crepe Rit Du Clown,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1419030-Reviews-La_Crepe_rit_du_Clown-Paris_Ile_de_France.html,572,4.5
157,Papi Henri,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10941478-Reviews-Papi_Henri-Paris_Ile_de_France.html,201,4.5
158,Le Petit Champerret,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1109751-Reviews-Le_Petit_Champerret-Paris_Ile_de_France.html,256,4.5
159,Le Baron Rouge,https://www.tripadvisor.fr/Restaurant_Review-g187147-d782199-Reviews-Le_Baron_Rouge-Paris_Ile_de_France.html,513,4.5
160,La Traversée,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12453232-Reviews-La_Traversee-Paris_Ile_de_France.html,168,4.5
161,Crêperie Mad'eo,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10133628-Reviews-Creperie_Mad_eo-Paris_Ile_de_France.html,273,4.5
162,Soul Kitchen,https://www.tripadvisor.fr/Restaurant_Review-g187147-d3750239-Reviews-Soul_Kitchen-Paris_Ile_de_France.html,376,4.5
163,La Verrière Paris,https://www.tripadvisor.fr/Restaurant_Review-g187147-d13835727-Reviews-La_Verriere_Paris-Paris_Ile_de_France.html,163,4.5
164,Neige d'été,https://www.tripadvisor.fr/Restaurant_Review-g187147-d7137343-Reviews-Neige_d_ete-Paris_Ile_de_France.html,301,4.5
165,Le Jeroboam,https://www.tripadvisor.fr/Restaurant_Review-g187147-d1109787-Reviews-Le_Jeroboam-Paris_Ile_de_France.html,665,4.5
166,Paul Chene,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719817-Reviews-Bistrot_Paul_Chene-Paris_Ile_de_France.html,801,4.5
167,L'Oseille,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12632732-Reviews-Restaurant_L_Oseille-Paris_Ile_de_France.html,248,4.5
168,Boulangerie Utopie,https://www.tripadvisor.fr/Restaurant_Review-g187147-d8512422-Reviews-Boulangerie_Utopie-Paris_Ile_de_France.html,240,4.5
169,Restaurant Étude,https://www.tripadvisor.fr/Restaurant_Review-g187147-d4975113-Reviews-Etude-Paris_Ile_de_France.html,338,4.5
170,La Vache Dans Les Vignes,https://www.tripadvisor.fr/Restaurant_Review-g187147-d7303490-Reviews-La_Vache_Dans_Les_Vignes-Paris_Ile_de_France.html,193,4.5
171,Pedzouille,https://www.tripadvisor.fr/Restaurant_Review-g187147-d10201111-Reviews-Pedzouille-Paris_Ile_de_France.html,456,4.5
172,Bien Ficelé,https://www.tripadvisor.fr/Restaurant_Review-g187147-d15052647-Reviews-Bien_Ficele-Paris_Ile_de_France.html,222,4.5
173,Le P'tit Troquet,https://www.tripadvisor.fr/Restaurant_Review-g187147-d719177-Reviews-Le_P_tit_Troquet-Paris_Ile_de_France.html,1039,4.5
174,Tour d'Argent,https://www.tripadvisor.fr/Restaurant_Review-g187147-d718750-Reviews-Tour_d_Argent-Paris_Ile_de_France.html,2151,4.5
175,Boulangerie Alexine,https://www.tripadvisor.fr/Restaurant_Review-g187147-d2201626-Reviews-Boulangerie_Alexine-Paris_Ile_de_France.html,228,4.5
176,Arnaud Nicolas,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12423849-Reviews-Arnaud_Nicolas-Paris_Ile_de_France.html,279,4.5
177,Terra Gourma,https://www.tripadvisor.fr/Restaurant_Review-g187147-d12338026-Reviews-Terra_Gourma-Paris_Ile_de_France.html,213,4.5
